,guid,stock,title,summary,published,p_date,sentiment_summary,sentiment_title,title_sentiment,summary_sentiment
0,f4a78afd-b049-3a41-ae0c-98905463aac0,002460.SZ,Arena Minerals Drills 300 Metre Gravel Aquifer Averaging 503 Mg/L Lithium at Sal de la Puna Project; Mobilizes Additional Drill Rigs,"TORONTO, April 11, 2022 (GLOBE NEWSWIRE) -- Arena Minerals Inc. (""Arena"" or the ""Company"") (TSX-V: AN) is pleased to announce it has completed drilling of its first diamond drill hole (DD-02) at the Sal de la Puna Project (“SDLP Project”) located in the Pastos Grandes basin within Salta province, Argentina. The diamond drill hole is located on the Almafuerte claim and intersected a continuous brine column from 140 metres to the total drilled depth of 646 metres. The entire sampled brine column a","Mon, 11 Apr 2022 15:00:00 +0000",002460.SZ_2022-04-11,0.7717,-0.128,0.07|0.93|0.0|-0.128,0.0|0.91|0.09|0.7717
1,ff3917f1-309a-3a00-a6c3-fd5aa55c2788,002460.SZ,Arena Minerals Announces Commencement of Resource Drilling at Sal de la Puna Lithium Project,"TORONTO, Nov. 12, 2021 (GLOBE NEWSWIRE) -- Arena Minerals Inc. (""Arena"" or the ""Company"") (TSX-V: AN) is pleased to announce the commencement of drilling on the Sal de la Puna Project (“SDLP Project”) located in the Pastos Grandes basin within Salta province, Argentina. Arena is operating the drill program on behalf of Sal de la Puna Holdings Ltd., which is jointly owned by Arena (65%) and Ganfeng New Energy Technology Development (Suzhou) Co., Ltd. (“Ganfeng Lithium”; 1772.HK; OTCQX: GNENF) (35","Fri, 12 Nov 2021 12:30:00 +0000",002460.SZ_2021-11-12,0.6124,0.0,0.0|1.0|0.0|0.0,0.0|0.94|0.06|0.6124
2,884f16c2-4700-3e00-be66-1b114b082e2e,002460.SZ,UPDATE 1-China's Ganfeng Lithium inks 3-year supply contract with Tesla,"China's Ganfeng Lithium Co Ltd and its unit GFL International Co Ltd have signed a contract to supply battery-grade lithium products to U.S. electric vehicle (EV) maker Tesla Inc.  Ganfeng, the world's top lithium company by market capitalisation, has already supplied battery-grade lithium to EV producers including Tesla.  The new contract will allow the company and its unit to provide products to Tesla for three years starting from 2022, Ganfeng said on Monday in a filing to the Shenzhen Stock Exchange.","Mon, 01 Nov 2021 10:31:13 +0000",002460.SZ_2021-11-01,0.4019,0.0,0.0|1.0|0.0|0.0,0.0|0.954|0.046|0.4019
3,bfd8eac4-25a9-3863-92b5-09ece456e6db,002460.SZ,Arena Minerals Initiates Comprehensive Work Program Focused on Resource Expansion and Processing at the Sal De La Puna Lithium Project in Argentina,"FIGURE 1 Pastos Grandes Basin claim map showing distribution of existing and proposed drilling on Sal de la Puna Project. THIS NEWS RELEASE IS NOT FOR DISTRIBUTION TO U.S. NEWSWIRE SERVICES OR FOR DISSEMINATION IN THE UNITED STATES TORONTO, Oct. 28, 2021 (GLOBE NEWSWIRE) -- Arena Minerals Inc. (""Arena"" or the ""Company"") (TSX-V: AN) is pleased to announce that the Board of Sal de la Puna Holdings Ltd. has approved a comprehensive development work program for the Sal de la Puna Project. Sal de la","Thu, 28 Oct 2021 11:52:00 +0000",002460.SZ_2021-10-28,0.8816,0.5574,0.0|0.813|0.187|0.5574,0.0|0.876|0.124|0.8816
4,a252c46e-fb67-3bc7-abc5-1672c916385c,002460.SZ,Arena Minerals Announces Closing Second & Final Tranche of Offering With Ganfeng Lithium and Lithium Americas,"THIS NEWS RELEASE IS NOT FOR DISTRIBUTION TO U.S. NEWSWIRE SERVICESOR FOR DISSEMINATION IN THE UNITED STATES TORONTO, Oct. 15, 2021 (GLOBE NEWSWIRE) -- Arena Minerals Inc. (""Arena"" or the ""Company"") (TSX-V: AN) is pleased to announce that it has closed the second and final tranche of its $10 million subscription receipts private placement announced July 12, 2021. William Randall, President and Chief Executive Officer of the Company, commented, “Given the continued international interest in the P","Fri, 15 Oct 2021 12:42:00 +0000",002460.SZ_2021-10-15,0.8567,0.0,0.0|1.0|0.0|0.0,0.0|0.886|0.114|0.8567
5,c41bc392-d88e-312c-a7da-17c81d45b823,SQM,SQM (SQM) Dips More Than Broader Markets: What You Should Know,"In the latest trading session, SQM (SQM) closed at $93.64, marking a -1.86% move from the previous day.","Tue, 26 Jul 2022 21:50:09 +0000",SQM_2022-07-26,0.0,0.0,0.0|1.0|0.0|0.0,0.0|1.0|0.0|0.0
6,747f9cfc-3cad-378a-b226-d9f119f2def6,SQM,Newmont's (NEM) Earnings and Revenues Lag Estimates in Q2,Newmont's (NEM) Q2 earnings reflect the impacts of higher direct operating costs resulting from higher labor costs and higher commodity inputs.,"Mon, 25 Jul 2022 16:16:04 +0000",SQM_2022-07-25,0.0,-0.34,0.231|0.769|0.0|-0.34,0.0|1.0|0.0|0.0
7,b9cb97b3-3b11-39a7-987a-9563c2c33b1f,SQM,Best Growth Stocks to Buy for July 25th,"SQM, DK, and PEB made it to the Zacks Rank #1 (Strong Buy) growth stocks list on July 25, 2022.","Mon, 25 Jul 2022 11:50:11 +0000",SQM_2022-07-25,0.3818,0.7783,0.0|0.469|0.531|0.7783,0.0|0.88|0.12|0.3818
8,71d73a24-e6de-30da-934f-f83a5813e55f,SQM,Valmont (VMI) Earnings & Revenues Surpass Estimates in Q2,Valmont's (VMI) Q2 earnings gain from favorable pricing and higher volumes.,"Fri, 22 Jul 2022 15:58:03 +0000",SQM_2022-07-22,0.7579,0.0,0.0|1.0|0.0|0.0,0.0|0.581|0.419|0.7579
9,d2b26968-fb34-3306-a571-c5aa54ed8213,SQM,Freeport's (FCX) Earnings and Sales Miss Estimates in Q2,Freeport's (FCX) Q2 earnings are impacted by lower realized prices for copper.,"Thu, 21 Jul 2022 15:43:03 +0000",SQM_2022-07-21,-0.296,-0.1531,0.167|0.833|0.0|-0.1531,0.167|0.833|0.0|-0.296
